ID;Start Date;End Date;Display Date;Title;City;Venue;Type;Org. Body;# of Cat. Entries;# of Artists;Status
156;1908-04-06;;;Венок;Saint Petersburg;Saint Petersburg (exact location unknown);group;;249;27;proof read
1243;1908-04-12;1908-05-31;;III. výstava Sdružení výtvarných umělců moravských;Chrudim;Průmyslové muzeum pro východní Čechy;group;Sdružení výtvarných umělců moravských;124;20;completed
158;1908-04-15;1908-06-30;;Société Nationale des Beaux-Arts: XVIIIe Exposition;Paris;Grand Palais des Champs Elysées;group;Société nationale des beaux-arts;0;0;pending
981;1908-04-15;1908-05-00;15/04/1908 - ca. 07/05/1908;X. Jahrgang. 1907/1908. IX. Ausstellung. [Kollektionen Ulrich Hübner, Philipp Klein †, Emil Pottner, Emil Rudolf Weiss];Berlin;Paul Cassirer;group;Paul Cassirer;77;4;proof read
159;1908-04-18;1908-05-24;;"Vystavka kartin ""Salon Zolotogo Runa""";Moscow;Moscow (exact location unknown);group;;0;0;pending
1275;1908-04-27;1908-05-30;;Exposition de Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;0;0;pending
160;1908-04-27;1908-05-16;;Exposition Van Rysselberghe;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;0;0;pending
161;1908-04-30;1908-06-30;;Twelfth Annual Exhibition;Pittsburgh;Carnegie Institute;group;;0;0;pending
164;1908-05-01;;;Dvacátá šestá výstava Spolku výtvarných umělců Manes v Praze;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;135;23;proof read
746;1908-05-01;1908-10-15;;Grosse Kunstausstellung Dresden;Dresden;Städtischer Ausstellungspalast;group;;0;0;pending
165;1908-05-03;1908-06-15;;18e Jaarlijksche Tentoonstelling van Kunstwerken van Leden der Vereeniging;Amsterdam;Stedelijk Museum;group;Vereeniging Sint Lucas;509;197;completed
166;1908-05-08;;;"Выставка ""Современных течений в искусстве""";Saint Petersburg;Saint Petersburg (exact location unknown);group;;398;50;proof read
982;1908-05-09;1908-06-03;;X. Jahrgang. 1907/1908. X. Ausstellung. Francisco de Goya;Berlin;Paul Cassirer;group;Paul Cassirer;100;9;completed
167;1908-05-09;1908-06-26;;XXIe Salon de l'Oeuvre des Artistes;Liège;Palais des Beaux-Arts;group;;0;0;pending
168;1908-05-15;1908-10-00;15/05/1908 - end/10/1908;"Internationale Kunst-Ausstellung des Vereins bildender Künstler Münchens (E.V.) ""Secession""";Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";295;95;proof read
1131;1908-05-15;1908-05-16;;Tableaux Modernes. Aquarelles, Dessins et Pastels;Paris;Hôtel Drouot;auction;Hôtel Drouot;89;26;proof read
787;1908-05-16;1908-05-28;;"""Les Cinquantes"": Exposition de gravures originales en noir (eau-forte, pointe sèche, burin, gravure sur bois)";Paris;Galeries Georges Petit;group;Galeries Georges Petit;0;0;pending
169;1908-05-18;1908-05-29;;Edvard Diriks;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;0;0;pending
1441;1908-06-00;1908-06-00;06/1908;[Camoin, Derain, Friesz, Dufy, Marquet, Matisse, Vlaminck („le fameux groupe“)];Paris;Galerie B. Weill;group;;0;0;pending
983;1908-06-00;1908-09-00;;[X. Jahrgang. 1907/1908. XI. Ausstellung]. [Sommerausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
1257;1908-06-00;1908-07-00;;Výstava „Osmi“;Prague;Topičův salon;group;Osma;29;7;completed
171;1908-06-01;1908-06-20;;Exposition de Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;0;0;pending
163;1908-06-01;1908-11-16;;Kunstschau Wien;Vienna;Gebäude der Kunstschau Wien;group;Kunstschau Wien;1150;88;completed
172;1908-06-06;1908-06-28;;Les Indépendants Cercle d'Art. Ve Salon annuel;Brussels;Brussels (exact location unknown);group;Les Indépendants Cercle d'Art;221;34;proof read
1266;1908-06-10;1908-06-13;;Collection Thadée Natanson;Paris;Hôtel Drouot;auction;"Hôtel Drouot; MM. Bernheim-Jeune & Cie";65;13;proof read
1337;1908-06-14;1908-06-28;;V. van Gogh-Ausstellung;Frankfurt am Main;Gebäude des Frankfurter Kunstvereins;solo;Frankfurter Kunstverein;98;1;proof read
1222;1908-06-28;1908-09-01;;V. výstava Sdružení výtvarných umělců moravských;Kroměříž;Květná zahrada;group;Sdružení výtvarných umělců moravských;161;27;completed
817;1908-07-00;;;Concorso Mylius alla Permanente;Milan;Palazzo della Permanente;group;;0;0;pending
174;1908-07-00;1908-08-08;;The London Salon of the Allied Artists' Association. 1st year;London;Royal Albert Hall;group;Allied Artists'  Association, Ltd.;3312;687;completed
1097;1908-07-03;1908-07-20;;Exposition De Tableaux Modernes;Paris;Galerie Druet;group;Galerie Druet;69;24;proof read
1338;1908-07-10;1908-07-26;;VI. Serie;Zurich;Zurich (exact location unknown);group;Kunsthaus Zürich;80;4;completed
1381;1908-09-00;1908-10-20;;[Die Sonderschau Munchs 1908];Mannheim;Kunsthalle Mannheim;group;Mannheimer Kunstverein;12;1;in progress
176;1908-09-00;;;Vincent van Gogh Tentoonstelling;Amsterdam;Kunsthandel C. M. Van Gogh;solo;Kunsthandel C. M. Van Gogh;125;1;completed
882;1908-09-00;1908-10-13;mid/09/1908 - 13/10/1908;XI. Jahrgang. Winter 1908/09. I. Ausstellung. [Kollektionen Ulrich Hübner, Georges Mosson, Emil Pottner];Berlin;Paul Cassirer;group;Paul Cassirer;35;8;proof read
1442;1908-10-00;1908-11-30;;[Léon Lehmann];Paris;Galerie B. Weill;solo;;0;0;pending
1137;1908-10-00;;;Hagenbund. XXVI. Ausstellung. Rysselberghe, Sieck, Parin;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;99;3;completed
1109;1908-10-00;1908-11-00;;The Society of 25 Painters. Fourth London Exhibition;London;Goupil Gallery;group;Goupil Gallery;74;24;proof read
178;1908-10-01;1908-11-01;;Ausstellung Belgischer Kunst;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;266;102;proof read
179;1908-10-01;1908-11-08;;Salon d'Automne. 6e Exposition;Paris;Grand Palais des Champs Elysées;group;Société du Salon d'Automne;735;190;in progress
1465;1908-10-01;1908-11-01;;VIII. Serie Französische Impressionisten;Zurich;Zurich (exact location unknown);group;Kunsthaus Zürich;102;51;completed
180;1908-10-12;1908-10-24;;Toulouse-Lautrec (1864-1901);Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;24;1;completed
883;1908-10-15;1908-11-08;;"XI. Jahrgang. Winter 1908/09. II. Ausstellung. [Kollektion Lovis Corinth. Ausstellung ""Stilleben""]";Berlin;Paul Cassirer;group;Paul Cassirer;86;28;proof read
1142;1908-11-00;1909-01-00;;Hagenbund. XXVII. Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;283;52;completed
768;1908-11-00;;;Otto M. Miethke-Gutenegg. Architekt Hans Offner. Kollektivausstellung.;Munich;Kunstsalon W. Zimmermann;group;;191;1;proof read
193;1908-11-00;1909-00-00;;Téli nemzetközi kiállítás;Budapest;Műcsarnok;group;Országos Magyar Képzőművészeti Társulat;828;201;proof read
162;1908-11-07;1909-01-06;;XXXI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession. Moderne Russische Kunst;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;192;28;proof read
182;1908-11-09;1908-11-28;;Exposition Georges Braque;Paris;Galerie Kahnweiler;solo;Galerie Kahnweiler;27;1;proof read
181;1908-11-09;1908-11-21;;Peintures, Pastels, Dessins, Lithographies par Odilon Redon;Paris;Galerie Druet;group;Galerie Druet;0;0;pending
183;1908-11-11;1908-11-24;;Exposition Vuillard;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;0;0;pending
884;1908-11-14;1908-12-13;;[XI. Jahrgang. III. Ausstellung]. Katalog der Ausstellung des Nachlasses Walter Leistikows;Berlin;Paul Cassirer;solo;Paul Cassirer;120;1;proof read
1200;1908-11-15;1908-12-00;;[Cäsar Kunwald];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
184;1908-11-23;1908-12-05;;Exposition Maurice Denis;Paris;Galerie Druet;solo;Galerie Druet;71;1;proof read
185;1908-11-25;1908-12-08;;Exposition Van Dongen;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;89;1;proof read
186;1908-12-00;;;Sechzehnte Ausstellung der Berliner Secession. Zeichnende Künste;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;1438;136;completed
187;1908-12-11;;;60 graphische Werke und 6 Gemälde von Edward Munch;Munich;Moderne Kunsthandlung;group;Moderne Kunsthandlung;0;0;pending
188;1908-12-11;1908-12-31;;Exposition d'Aquarelles, Dessins & Croquis;Paris;Galerie B. Weill;group;Galerie B. Weill;0;0;pending
189;1908-12-14;1909-01-09;;Exposition Georges Seurat (1859-1891);Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;219;1;proof read
1201;1908-12-15;;;[Helene Frauenhofer-Mühlthaler];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
885;1908-12-16;1908-12-00;16/12/1908 - end/12/1908;XI. Jahrgang. Winter 1908/1909. IV. Ausstellung. [Kollektion Leopold Graf von Kalckreuth];Berlin;Paul Cassirer;solo;Paul Cassirer;31;1;proof read
190;1908-12-21;1909-01-15;;Catalogue des Œuvres Exposées;Paris;Galerie Notre-Dame-des-Champs;group;Galerie Notre-Dame-des-Champs;79;13;completed
191;1908-12-21;1909-01-16;;Exposition d'Aquarelles et Dessins;Paris;Galerie Druet;group;Galerie Druet;0;0;pending
1330;1908-12-23;1909-02-10;;Winter-Ausstellung. Hans von Marées;Munich;Königliches Kunstausstellungsgebäude am Königsplatz;solo;"Verein bildender Künstler Münchens ""Secession""";0;0;pending
788;1909-00-00;1909-00-00;;VIe Exposition Annuelle des Beaux-Arts;Paris;Salon de l'École Française;group;;0;0;pending
253;1909-00-00;1910-00-00;;VII Выставка Картин Союза Русских Художников;Moscow;Литературно-Художественный Кружок;group;;414;44;proof read
212;1909-00-00;;;"Vistavka kartin ""Impressionisty""";Saint Petersburg;Saint Petersburg (exact location unknown);group;;0;0;pending
252;1909-00-00;1910-00-00;;XVII Выставка Картин Московскаго Товарищества Художников;Moscow;Moscow (exact location unknown);group;;396;73;proof read
1264;1909-00-00;;;XXXV. Ausstellung der Vereinigung bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;219;4;proof read
1475;1909-00-00;1910-00-00;;"Выставка ""Импрессионистов"".";Vilnius;Vilnius;group;;170;17;completed
1471;1909-00-00;;;"Выставка картин группы ""Венок-Стефанос""";Saint Petersburg;Nevskiy 68;group;;78;6;completed
197;1909-00-00;;;Союз Русских Художников;Moscow;Moscow (exact location unknown);group;Союз Русских Художников;30;22;proof read
1148;1909-01-00;1909-02-00;;28. Ausstellung des Künstlerbundes Hagen, Wien;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;solo;Künstlerbund Hagen / Hagenbund;8;1;proof read
1152;1909-01-00;1909-02-00;;Dvacátá sedmá výstava Spolku vytvarných umělců Manes v Praze. Malíř Emil Bernard;Prague;Pavilon v zahradě Kinských;solo;Spolek výtvarných umělců Mánes;58;1;completed
199;1909-01-00;;;Exhibition of Contemporary German Art;New York;Metropolitan Museum of Art;group;Metropolitan Museum of Art;212;78;proof read
1164;1909-01-00;;;Wilhelm Trübner;Vienna;Galerie Miethke;solo;Galerie Miethke;38;1;proof read
895;1909-01-00;1909-02-00;ca. 22/01/1909 - 22/02/1909;XI. Jahrgang. Winter 1908/1909. VI. Ausstellung. [Kollektionen Claude Monet, Heinrich Hübner, Philipp Franck];Berlin;Paul Cassirer;group;Paul Cassirer;76;7;proof read
1263;1909-01-00;1909-02-00;;XXXII. Ausstellung der Vereinigung bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;154;3;proof read
893;1909-01-01;1909-01-20;;[XI. Jahrgang]. V. Ausstellung. Henri Matisse;Berlin;Paul Cassirer;group;Paul Cassirer;94;2;proof read
736;1909-01-06;1909-01-31;;Schilderijen en teekeningen door C. Spoor, Piet Mondriaan en Jan Sluyters;Amsterdam;Stedelijk Museum;group;Stedelijk Museum;0;0;pending
200;1909-01-18;1909-01-30;;Exposition Paul Sérusier 1891-1909;Paris;Galerie Druet;solo;Galerie Druet;74;1;proof read
201;1909-01-22;1909-02-28;;Exposition de Peintures, Aquarelles et Pastels;Paris;Galerie B. Weill;group;Galerie B. Weill;0;0;pending
202;1909-01-24;1909-02-28;;"Vystavka kartin ""Zolotoe runo""";Moscow;Moscow (exact location unknown);group;;0;0;pending
1202;1909-02-00;1909-03-00;;[Otto Fikentscher];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
204;1909-02-00;1909-03-00;;M.I.É.N.K. második kiállitása;Budapest;Nemzeti Szalon;group;Nemzeti Szalon;182;30;proof read
203;1909-02-00;1909-03-00;;Tentoonstelling Jan Toorop;Amsterdam;Larensche Kunsthandel;solo;Larensche Kunsthandel;125;1;completed
1237;1909-02-00;1909-02-00;;The New Association of Artists. Second Exhibition;London;Goupil Gallery;group;New Association of Artists;71;18;completed
1153;1909-02-00;1909-03-00;;XXVIII. výstava Spolku výtvarných umělců Manes v Praze. Soubor děl sochaře Emila A. Bourdella;Prague;Pavilon v zahradě Kinských;solo;Spolek výtvarných umělců Mánes;78;1;completed
205;1909-02-01;1909-02-20;;Exposition Bonnard;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;36;1;proof read
769;1909-02-05;1909-06-30;;LXXIX. Esposizione Internazionale;Rome;Palazzo dell'Esposizone;group;;0;0;pending
1380;1909-02-07;1909-03-00;;[Munchs Sonderausstellung 1909];Bremen;Kunsthalle Bremen;solo;Kunsthalle Bremen;22;1;in progress
198;1909-02-09;1909-03-24;;Akvarellek, pasztellek és grafikai művek nemzetközi kiállitása;Budapest;Műcsarnok;group;Országos Magyar Képzőművészeti Társulat;1964;330;proof read
206;1909-02-12;1909-02-24;;Exhibition of Paintings and Drawings by Max Weber;New York;Murray Hill Gallery;group;Murray Hill Gallery;41;1;proof read
858;1909-02-15;1909-02-27;;Exposition de Dessins rehaussés par Gaston Hochard;Paris;Galerie Druet;solo;Galerie Druet;184;1;proof read
896;1909-02-25;1909-03-25;;XI. Jahrgang. Winter 1908/1909. VII. Ausstellung. [Kollektionen Max Liebermann, Theo von Brockhusen, Alfred Helberger, Georg Minne, Reinhold Nägele, Fritz Rhein];Berlin;Paul Cassirer;group;Paul Cassirer;77;6;proof read
207;1909-02-28;1909-04-00;28/02/1909 - beg/04/1909;Ausstellung Hans von Marées;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;solo;Berliner Secession;153;1;proof read
208;1909-03-00;;;De Unga;Stockholm;Hallins konsthandel;group;"Hallins konsthandel; De Unga";93;14;completed
1118;1909-03-00;;;Prof. Jacob Alberts;Vienna;Galerie Miethke;solo;Galerie Miethke;35;1;proof read
1270;1909-03-00;;;XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;241;75;proof read
209;1909-03-01;1909-03-13;;Pierre Laprade vous prie de visiter l'Exposition de ses Peintures;Paris;Galerie Druet;solo;Galerie Druet;58;1;proof read
958;1909-03-02;1909-05-10;;Frühjahr-Ausstellung der Münchener Secession;Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";426;93;proof read
210;1909-03-07;1909-04-12;;La Libre Esthétique. Seizième Exposition;Brussels;Brussels (exact location unknown);group;La Libre Esthétique;289;40;proof read
789;1909-03-07;1909-03-08;;Tableaux, aquarelles, dessins, gravures, eaux-fortes par F. Picabia;Paris;Hôtel Drouot;solo;Hôtel Drouot;104;1;proof read
790;1909-03-17;1909-03-31;;Exposition de tableaux par F. Picabia;Paris;Galeries Georges Petit;solo;Galeries Georges Petit;0;0;pending
213;1909-03-22;1909-04-03;;Exposition de 32 Tableaux de G. Courbet;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;32;1;proof read
840;1909-03-22;1909-03-25;;Vystavka v hudozestvennoj skole Rerberga;Moscow;Художественная школа Ф. И. Регберга;group;;0;0;pending
214;1909-03-25;1909-05-02;;Société des Artistes Indépendants: 25e exposition;Paris;Jardin des Tuileries, Serres de l'Orangerie;group;Société des Artistes Indépendants;0;0;pending
1242;1909-03-26;1909-04-09;;Paintings by Arthur Streeton;London;Galleries of the Alpine Club;solo;Galleries of the Alpine Club;48;1;completed
897;1909-03-28;1909-04-00;28/03/1909 - end/04/1909;XI. Jahrgang. Winter 1908/1909. VIII. Ausstellung.;Berlin;Paul Cassirer;group;Paul Cassirer;68;4;proof read
215;1909-03-30;1909-04-17;;"Exhibition of Sketches in Oil by Alfred Maurer, of Paris and New York; and Water-colors by John Marin of Paris and New York.";New York;Photo-Secession Galleries;group;Photo-Secession Galleries;40;2;completed
211;1909-04-00;;;Achtzehnte Ausstellung der Berliner Secession;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;330;128;proof read
216;1909-04-00;;;Pictures and Drawings by Roger Fry;London;Carfax Gallery;group;Carfax Gallery;38;1;completed
217;1909-04-00;1909-05-00;;S. V. U. Manes. XXIX. výstava. (Členská);Prague;Prague (exact location unknown);group;Spolek výtvarných umělců Mánes;110;26;proof read
238;1909-04-00;1909-05-00;;Tentoonstelling van Kunstwerken;Amsterdam;Amsterdam (exact location unknown);group;Arti et Amicitiae;230;193;completed
1335;1909-04-03;1909-08-15;;29. Ausstellung des Künstlerbundes Hagen. Frühlingsausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;0;0;pending
1382;1909-04-10;1909-05-12;;Esposizione riservata agli artisti lombardi e ai soci;Milan;Palazzo della Permanente;group;;0;0;pending
219;1909-04-11;1909-05-08;;Leihausstellung von Gemälden, Zeichnungen und Bildwerken aus bremischen Privatbesitz;Bremen;Kunsthalle Bremen;group;;0;0;pending
220;1909-04-11;1909-05-16;;Negentiende Jaarlijksche Tentoonstelling van Kunstwerken van Leden der Vereeniging;Amsterdam;Stedelijk Museum;group;Vereeniging Sint Lucas;626;207;completed
737;1909-04-11;1909-04-25;;Tentoonstelling van Schilderijen uit het Genootschap Kunstliefde;Utrecht;Gebouw Kunstliefde;group;Genootschap Kunstliefde;0;0;pending
221;1909-04-15;1909-06-30;;Société Nationale des Beaux-Arts: XIXe Exposition;Paris;Grand Palais des Champs Elysées;group;Société nationale des beaux-arts;0;0;pending
842;1909-04-20;1909-06-03;;6-aja vystavka hudozestvennyh proizvedenij;Ekaterinoslav;Room for scientific conferences;group;;0;0;pending
222;1909-04-22;1909-05-08;;Exhibition of Paintings and Drawings by Max Weber;New York;Haas Gallery;solo;Haas Gallery;47;1;completed
223;1909-04-22;1909-10-31;;VIII. Esposizione d'Arte della Città di Venezia;Venice;Giardini Pubblici;group;Città di Venezia;1780;418;completed
224;1909-04-29;1909-06-30;;Thirteenth Annual Exhibition;Pittsburgh;Carnegie Institute;group;;3;3;pending
898;1909-05-00;1909-05-00;;[XI. Jahrgang. IX. Ausstellung]. Werke von Paula Modersohn, Regina Mundlak, Vincent van Gogh;Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
1383;1909-05-00;1909-06-00;;Esposizione di pittura e scultura;Brunate;Brunate (exact location unknown);group;;0;0;pending
225;1909-05-00;1909-10-00;;Internationale Kunstschau Wien;Vienna;Gebäude der Kunstschau Wien;group;Kunstschau Wien;588;92;proof read
226;1909-05-03;1909-05-15;;Aquarelles & Pastels de Cézanne, H.-E. Cross, Degas, Jongkind, Camille Pissarro, K.-X. Roussel, Paul Signac, Vuillard;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;120;7;proof read
1154;1909-05-08;1909-06-30;;4me Exposition. Société Des Artistes Méridionaux;Toulouse;Capitole;group;Société des Artistes Méridionaux;199;25;proof read
227;1909-05-08;1909-05-18;;Exhbition of Paintings in Oil by Mr. Marsden Hartley, of Maine;New York;Photo-Secession Galleries;solo;;33;1;proof read
229;1909-05-15;1909-10-03;;Ausstellung für Christliche Kunst. Ausstellung von Mitgliedern des Deutschen Werkbundes;Dusseldorf;Dusseldorf (exact location unknown);group;;0;0;pending
228;1909-05-15;1909-10-03;;Grosse Kunstausstellung [Düsseldorf];Dusseldorf;Städtischer Kunstpalast;group;Verein zur Veranstaltung von Kunstausstellungen e. V.;626;211;completed
828;1909-05-17;1909-05-29;;Exposition Armand Guillaumin;Paris;Galerie Druet;solo;;60;1;proof read
230;1909-05-22;;;Forty-First Exhibition of Modern Pictures. New English Art Club;London;Galleries of the Royal Society of British Artists;group;Galleries of the Royal Society of British Artists;342;111;proof read
1232;1909-05-23;1909-06-20;;VI. výstava „Sdružení výtvarných umělců moravských“ v Hodoníně. Umění polské a moravské;Hodonín;Hodonín (exact location unknown);group;Sdružení výtvarných umělců moravských;166;33;completed
231;1909-05-24;1909-06-07;;Expositions de Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;0;0;pending
1341;1909-06-00;;summer/1909;[Sommerausstellung. Alte und moderne Meister aus eigenem Bestand];Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
967;1909-06-01;1909-10-00;01/06/1909 - end/10/1909;X. Internationale Kunstausstellung. Königl. Glaspalast;Munich;Königlicher Glaspalast;group;"Verein bildender Künstler Münchens ""Secession""; Münchener Künstlergenossenschaft";0;0;pending
232;1909-06-08;1909-06-23;;La Misère Sociale de la Femme / Peinture - Dessins - Estampes / Au profit de l'Oeuvre des Libérées de Saint-Lazare;Paris;Galeries Devambez;group;Galeries Devambez;0;0;pending
233;1909-06-12;1909-07-04;;Les Indépendants Cercle d'Art / VIe Salon annuel;Brussels;Brussels (exact location unknown);group;Les Indépendants Cercle d'Art;314;44;completed
1147;1909-06-14;1909-06-26;;Nicolas Tarkhoff;Paris;Galerie Druet;solo;Galerie Druet;98;1;proof read
234;1909-06-18;1909-06-21;;Vente de 84 Œuvres De Walter Sickert;Paris;Hôtel Drouot;auction;"Hôtel Drouot; MM. Bernheim-Jeune & Cie";84;1;proof read
923;1909-07-00;1909-09-00;;[Jahrgang XI. IX. Ausstellung. Sommerausstelllung];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
235;1909-07-00;;;The London Salon of the Allied Artists' Association: 2nd year;London;Royal Albert Hall;group;Allied Artists'  Association, Ltd.;1089;409;in progress
236;1909-07-10;1909-08-01;;Doe Stil Voort. IIIe Jaarlijksche Tentoonstelling. IIIe Exposition Annuelle;Brussels;Hedendaagsche Museum - Musée Moderne;group;Doe Stil Voort;168;25;completed
1301;1909-07-10;1909-08-22;;Gemeentelijke Tentoonstelling van Kunstwerken van Levende Meesters;Arnhem;Musis Sacrum;group;Musis Sacrum;294;188;completed
237;1909-08-04;1909-09-16;;Sonderausstellung / Graphische Arbeiten meist / französischer Künstler / Deutsche und holländische Keramik;Hagen;Museum Folkwang;group;;0;0;pending
1163;1909-09-00;1909-10-00;;Irma von Duczyńska. Professor Max Thedy;Vienna;Galerie Miethke;group;Galerie Miethke;59;2;proof read
1108;1909-09-00;1909-10-00;;Körösfői Kriesch Aladár, Nagy Sándorék és a Gödöllőiek Kiállitása;Budapest;Nemzeti Szalon;group;Nemzeti Szalon;371;8;proof read
899;1909-09-00;1909-10-20;end/09/1909 - 20/10/1909;XII. Jahrgang. September/Oktober 1909. I. Ausstellung. [Kollektionen Ulrich Hübner, Jakob Nußbaum];Berlin;Paul Cassirer;group;Paul Cassirer;41;6;proof read
1144;1909-09-04;1909-09-19;;Hagenbund. Alpine Kunstausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;172;16;proof read
1360;1909-09-16;1909-10-10;;IX. Serie;Zurich;Zurich (exact location unknown);group;"Kunsthaus Zürich; Zürcher Kunstgesellschaft";105;5;completed
1455;1909-10-00;1909-11-00;;Kollektiv Ausstellung Tina Blau;Vienna;Galerie Arnot;solo;;70;1;completed
1397;1909-10-00;1909-11-00;;Tentoonstelling van Teekeningen en Beeldhouwwerken;Amsterdam;Amsterdam (exact location unknown);group;Arti et Amicitiae;237;161;completed
241;1909-10-01;1909-11-08;;Salon d'Automne. 7e Exposition;Paris;Grand Palais des Champs Elysées;group;Société du Salon d'Automne;0;0;pending
239;1909-10-07;1909-12-00;;Vincent van Gogh;Munich;Brakl[s Moderne Kunsthandlung];solo;Brakl[s Moderne Kunsthandlung];55;1;completed
240;1909-10-19;1909-12-05;;Henri de Toulouse-Lautrec (1864-1901);Vienna;Galerie Miethke;group;Galerie Miethke;178;1;proof read
770;1909-10-20;;;Le Salon;;;group;;0;0;pending
901;1909-10-22;1909-11-11;;XII. Jahrgang. II. Ausstellung. [Kollektionen Lovis Corinth, Franz Heckendorf, Alfred Helberger, Oskar Moll];Berlin;Paul Cassirer;group;Paul Cassirer;63;10;proof read
1272;1909-10-22;1910-01-02;;XXXIV. Ausstellung der Vereinigung bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;solo;Vereinigung bildender Künstler Österreichs Secession;284;1;proof read
1093;1909-11-00;;;"A ""KÉVE"" második kiállitása";Budapest;Nemzeti Szalon;group;KÉVE;433;21;proof read
1451;1909-11-00;;;Eröffnungs-Ausstellung November 1909. Moderne Galerie München;Munich;Moderne Galerie (Heinrich Thannhauser);group;Moderne Galerie (Heinrich Thannhauser);176;48;completed
1456;1909-11-00;1909-11-00;;Impressionisten - Ausstellung;Munich;Moderne Galerie (Heinrich Thannhauser);group;Moderne Galerie (Heinrich Thannhauser);55;12;completed
242;1909-11-02;1909-11-20;;Exposition Vuillard;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;45;1;proof read
243;1909-11-08;1909-11-20;;Cinquante Tableaux de Vincent Van Gogh;Paris;Galerie Druet;solo;Galerie Druet;52;1;proof read
1277;1909-11-08;1909-12-04;;Exposition de Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;0;0;pending
244;1909-11-13;1909-12-04;;Natures Mortes et Fleurs (Peintures);Paris;Galerie Eug. Blot;group;Galerie Eug. Blot;42;27;completed
902;1909-11-17;1909-12-12;;[XII. Jahrgang. III. Ausstellung. Kollektion Paul Cézanne];Berlin;Paul Cassirer;solo;Paul Cassirer;42;1;proof read
791;1909-11-18;1910-01-15;;Exposition de sculpture, peinture, art décoratif;Paris;Galerie de l'Art Contemporain;group;;0;0;pending
245;1909-11-27;1910-01-09;;Neunzehnte Ausstellung der Berliner Secession. Zeichnende Künste;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;883;87;proof read
1157;1909-11-27;1910-01-09;;XXX. výstava Sp. výtv. um. Manes. Výstava skizz;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;396;31;completed
1238;1909-12-00;;winter/1909;Forty-Second Exhibition of Modern Pictures. New English Art Club;London;Galleries of the Royal Society of British Artists;group;New English Art Club;326;121;completed
1149;1909-12-00;1910-01-00;;Weihnachtsausstellung. Künstlerbund Hagen [31. Ausstellung];Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;265;59;proof read
